key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2006arc,2006,Archimedes Division,1144814400,GA,USA,NULL,2006-04-12,2006-04-14,3,8,f,NULL,Completed,117,101,52.91,25.38,18.25,14.35,8.52,0.6667,0.2127,NULL,NULL,NULL,NULL
2006az,2006,Arizona Regional,1141880400,AZ,USA,NULL,2006-03-09,2006-03-11,0,2,f,NULL,Completed,85,68,38.01,19.15,8.2,10.38,7.45,0.6588,0.2093,NULL,NULL,NULL,NULL
2006ca,2006,Southern California Regional,1143090000,NULL,NULL,NULL,2006-03-23,2006-03-25,0,4,f,NULL,Completed,91,75,35.51,16.7,8.3,9.53,7.28,0.7033,0.1897,NULL,NULL,NULL,NULL
2006cmp,2006,Einstein Field,1144987200,GA,USA,NULL,2006-04-14,2006-04-14,4,8,f,NULL,Completed,7,0,58.34,23.42,NULL,27.75,12.52,0.5714,0.2628,NULL,NULL,NULL,NULL
2006co,2006,Colorado Regional,1143694800,CO,USA,NULL,2006-03-30,2006-04-01,0,5,f,NULL,Completed,87,72,23.22,13.73,9.09,9.57,4.97,0.7011,0.2011,NULL,NULL,NULL,NULL
2006ct,2006,UTC New England Regional,1141880400,CT,USA,NULL,2006-03-09,2006-03-11,0,2,f,NULL,Completed,15,0,21.25,13.73,6.2,12.53,4.15,0.5333,0.2458,NULL,NULL,NULL,NULL
2006cur,2006,Curie Division,1144814400,GA,USA,NULL,2006-04-12,2006-04-14,3,8,f,NULL,Completed,119,101,49.18,26.04,20.05,15.15,9.22,0.6639,0.2159,NULL,NULL,NULL,NULL
2006dt,2006,Detroit Regional,1142485200,MI,USA,NULL,2006-03-16,2006-03-18,0,3,f,NULL,Completed,81,66,44.48,14.72,7.09,11.94,9.62,0.7901,0.1614,NULL,NULL,NULL,NULL
2006fl,2006,Florida Regional,1141880400,FL,USA,NULL,2006-03-09,2006-03-11,0,2,f,NULL,Completed,94,77,27.13,16.15,10.37,10.22,6.29,0.6489,0.2119,NULL,NULL,NULL,NULL
2006ga,2006,Peachtree Regional,1142485200,GA,USA,NULL,2006-03-16,2006-03-18,0,3,f,NULL,Completed,94,75,21.64,11.79,8.88,8.91,4.37,0.6383,0.2289,NULL,NULL,NULL,NULL
2006gal,2006,Galileo Division,1144814400,GA,USA,NULL,2006-04-12,2006-04-14,3,8,f,NULL,Completed,116,101,43.91,27.77,18.72,14.86,8.96,0.6034,0.2266,NULL,NULL,NULL,NULL
2006gl,2006,Great Lakes Regional,1141880400,MI,USA,NULL,2006-03-09,2006-03-11,0,2,f,NULL,Completed,100,84,37.31,21.57,12.06,10.96,7.59,0.67,0.1848,NULL,NULL,NULL,NULL
2006il,2006,Midwest Regional,1142485200,IL,USA,NULL,2006-03-16,2006-03-18,0,3,f,NULL,Completed,76,60,33.61,18.43,7.31,14.84,8.24,0.7763,0.1557,NULL,NULL,NULL,NULL
2006in,2006,Boilermaker Regional,1142485200,IN,USA,NULL,2006-03-16,2006-03-18,0,3,f,NULL,Completed,70,54,29.41,16.94,6.56,13.4,6.86,0.7,0.2049,NULL,NULL,NULL,NULL
